Sys.Date..	text
2015-10-17	2113063
2015-10-18	"2112502"
2015-10-20	"2113112"
2015-10-21	"2113302"
2015-10-22	"2113380"
2015-10-23	"2114457"
2015-10-24	"2114514"
2015-10-25	"2115043"
2015-10-26	"2115137"
2015-10-27	"2115182"
2015-10-28	"2115255"
2015-10-29	"2122782"
2015-10-30	"2125152"
2015-10-31	"2125875"
2015-11-01	"2130668"
2015-11-02	"2131345"
2015-11-03	"2133242"
2015-11-04	"2133286"
2015-11-05	"2133393"
2015-11-06	"2135005"
2015-11-07	"2140950"
2015-11-08	"2142904"
2015-11-09	"2148093"
2015-11-10	"2148185"
