Sys.Date..	text
2015-10-17	1673007
2015-10-18	"1673030"
2015-10-20	"1678643"
2015-10-21	"1678810"
2015-10-22	"1679080"
2015-10-23	"1679823"
2015-10-24	"1680230"
2015-10-25	"1680510"
2015-10-26	"1680794"
2015-10-27	"1681072"
2015-10-28	"1681363"
2015-10-29	"1681599"
2015-10-30	"1682373"
2015-10-31	"1682691"
2015-11-01	"1682958"
2015-11-02	"1683204"
2015-11-03	"1683479"
2015-11-04	"1683695"
2015-11-05	"1683943"
2015-11-06	"1684440"
2015-11-07	"1684724"
2015-11-08	"1684986"
2015-11-09	"1685296"
2015-11-10	"1685635"
