P1218	Internet Broadway Database production ID	70
P1219	Internet Broadway Database show ID	33
P122	basic form of government	668
P1220	Internet Broadway Database person ID	2057
P1221	compressor type	2
P1222	NARA person ID	4
P1223	NARA organization ID	16
P1224	NARA geographic ID	3
P1225	NARA topical subject ID	1
P1226	NARA specific records type ID	1
P1227	astronomical filter	0
P1229	Openpolis ID	579
P123	publisher	42571
P1230	JSTOR journal code	3
P1231	NARA catalog record ID	2
P1232	Linguist list code	24
P1233	ISFDB author ID	3471
P1234	ISFDB publication ID	5
P1235	ISFDB series ID	57
P1236	Parsons code	43
P1237	Box Office Mojo film ID	996
P1238	Swedish Football Association ID	21
P1239	ISFDB publisher ID	15
P1240	Danish Bibliometric Research Indicator level	13748
P1241	Swiss Football Association Club Number	56
P1242	Theatricalia play ID	1
P1243	International Standard Recording Code	12
P1244	phone number (URL)	0
P1245	OmegaWiki Defined Meaning	561
P1246	patent number	15
P1247	compression ratio	7
P1248	KulturNav-id	1580
P1249	time of earliest written record	244
P1250	Danish Bibliometric Research Indicator (BFI) SNO/CNO	13751
P1251	ABS ASCL code	14
P1252	AUSTLANG code	14
P1253	BCU Ecrivainsvd	339
P1254	Slovenska biografija ID	398
P1255	Helveticarchives ID	46
P1256	Iconclass notation	391
P1257	depicts Iconclass notation	2300
P1258	Rotten Tomatoes identifier	13430
P1259	coordinates of the point of view	21
P126	maintained by	14117
P1260	Cultural heritage database in Sweden	1252
P1261	Rundata	1164
P1262	RAÄ-nummer	5
P1263	NNDB people ID	10748
P1264	valid in period	35
P1265	AlloCiné movie ID	4794
P1266	AlloCiné person ID	16950
P1267	AlloCiné series ID	37
P1268	represents organisation	49
P1269	facet of	11220
P127	owned by	28978
P1270	Norway Database for Statistics on Higher education periodical ID	2
P1271	Norway Database for Statistics on Higher education publisher ID	1
P1272	Norway Import Service and Registration Authority periodical code	2
P1273	CANTIC	22976
P1274	ISFDB title ID	189
P1275	Norway Import Service and Registration Authority publisher code	1
P1276	Dictionnaire du Jura ID	101
P1277	Jufo ID	2
P1278	Legal Entity Identifier	39
P1279	inflation rate	4
P128	regulates (molecular biology)	2
P1280	CONOR identifier	950
P1281	WOEID	22
P1282	OpenStreetMap tag or key	685
P1283	filmography	58
P1284	Munzinger IBA	16195
P1285	Munzinger Sport	1334
P1286	Munzinger Pop identifier	1621
P1287	KDG Komponisten der Gegenwart	744
P1288	KLG Kritisches Lexikon der Gegenwartsliteratur	807
P1289	KLfG Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur	653
P129	physically interacts with	22
P1290	godparent	34
P1291	Association Authors of Switzerland ID	680
P1292	DNB editions	98
P1293	Royal Aero Club Aviator's Certificate ID	61
P1294	WWF ecoregion code	6
P1295	emissivity	1
P1296	Gran Enciclopèdia Catalana ID	11401
P1297	IRS Employer Identification Number	29
P1299	depicted by	99
P1300	bibcode	1
P1301	number of elevators	32
P1302	primary destinations	73
P1303	instrument	25778
P1304	central bank	8
P1305	Skyscraper Center ID	3366
P1307	Swiss parliament identifier	665
P1308	officeholder	197
P1309	EGAXA identifier	849
P131	located in the administrative territorial entity	2564602
P1310	statement disputed by	1
P1311	lostbridges.org ID	38
P1312	has facet polytope	928
P1313	office held by head of government	2238
P1314	number of spans	986
P1315	People Australia identifier	2929
P1316	SMDB ID	189
P1317	floruit	1469
P1318	proved by	44
P1319	earliest date	15
P1320	OpenCorporates ID	664
P1321	place of origin (Switzerland)	1739
P1322	dual to	273
P1323	Terminologia Anatomica 98	3320
P1324	source code repository	436
P1325	external data available at	18
P1326	latest date	6
P1327	professional or sports partner	36
P1329	phone number	153
P1330	MusicBrainz instrument ID	633
P1331	PACE member ID	44
P1332	coordinate of northernmost point	114
P1333	coordinate of southernmost point	112
P1334	coordinate of easternmost point	112
P1335	coordinate of westernmost point	113
P1336	territory claimed by	45
P1338	EPSG ID	11
P1339	number of injured	147
P134	has dialect	270
P1340	eye color	834
P1341	Italian Chamber of Deputies ID	3
P1342	number of seats	182
P1343	described by source	59437
P1344	participant of	158659
P1345	number of victims	7
P1346	winner	6824
P1347	military casualty classification	113
P1348	AlgaeBase URL	96
P1349	ploidy	3
P135	movement	14529
P1350	number of matches played	19
P1351	number of points/goals scored	6
P1352	ranking	1775
P1353	original spelling	2
P1354	shown with features	0
P1355	wins	0
P1356	losses	0
P1357	matches/games drawn/tied	0
P1358	points for	0
P1359	number of points/goals conceded	1
P136	genre	253676
P1360	Monte Carlo Particle Number	61
P1362	Theaterlexikon der Schweiz online ID	990
P1363	points/goal scored by	105
P1364	ITTF ID	193
P1365	replaces	1867
P1366	replaced by	1869
P1367	BBC Your Paintings artist identifier	8856
P1368	LNB identifier	2564
P1369	Iranian National Heritage registration number	21357
P137	operator	39905
P1370	IHSI ID	28
P1371	ASI Monument ID	315
P1372	binding of software library	22
P1373	daily ridership	6
P1375	NSK identifier	1685
P1376	capital of	28101
P1377	MTR station code	10
P1378	China railway TMIS station code	1
P138	named after	48397
P1380	uglybridges.com ID	6
P1381	bridgehunter.com ID	5
P1382	coincident with	734
P1383	contains settlement	19324
P1385	Enciclopédia Açoriana ID	30
P1386	Japanese High School Code	4
P1387	political alignment	98
P1388	German regional key	41
P1389	product certification	2654
P1390	match time of score (minutes)	0
P1391	Index Fungorum ID	57120
P1392	ComicBookDB ID	13
P1393	proxy	11
P1394	Glottolog code	135
P1395	National Cancer Institute ID	15
P1396	Linguasphere code	41
P1397	State Catalogue of Geographical Names identifier (Russia)	5
P1398	replaced by structure, structure replaces	13
P1399	convicted of	2922
P14	highway marker	4392
P140	religion	32866
P1400	FCC Facility ID	4
P1401	bug tracking system	198
P1402	Foundational Model of Anatomy ID	3234
P1403	original combination	314
P1404	World Glacier Inventory ID	14
P1406	script directionality	8
P1407	MusicBrainz series ID	416
P1408	licensed to broadcast to	5204
P1409	Cycling Archives Cyclist ID	350
P141	IUCN conservation status	75625
P1410	number of seats of the organization in legislature	17
P1411	nominated for	2581
P1412	languages spoken or written	191677
P1413	SFDb ID (OBSOLETE), Swedish Film Database id (OBSOLETE)	51
P1414	GUI toolkit or framework	166
P1415	Oxford Biography Index Number	58134
P1416	affiliation	2727
P1417	Encyclopædia Britannica Online ID	269
P1418	orbits completed	253
P1419	shape	147
P1420	taxon synonym	642
P1421	GRIN URL	57095
P1422	Sandrart.net person ID	3331
P1423	template's main topic	438
P1424	topic's main template	246
P1425	ecoregion (WWF)	1
P1427	journey origin	949
P1428	Lost Art-ID	4
P1429	pet	18
P143	imported from	892
P1430	OpenPlaques subject identifier	4383
P1431	executive producer	371
P1432	b-side	6
P1433	published in	52704
P1434	describes the fictional universe	509
P1435	heritage status	266723
P1436	collection or exhibition size	20
P1437	plea	0
P1438	Jewish Encyclopedia ID (Russian)	1361
P1439	Norsk filmografi ID	627
P144	based on	9153
P1440	Fide ID	2826
P1441	present in work	12680
P1442	image of grave	7589
P1443	score method	0
P1444	journey destination	931
P1445	fictional universe described in	530
P1446	number of missing	8
P1447	Sports Reference ID	38114
P1448	official name	745145
P1449	nickname	1423
P1450	Sandbox Monolingual text	0
